Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,160.259995,160.539993,156.380005,160.289993,150.383270,13818200
2019-12-09,160.089996,162.089996,159.289993,161.330002,151.358994,11902100
2019-12-16,162.360001,164.339996,162.220001,164.190002,154.042236,15188800
2019-12-23,164.559998,164.679993,163.250000,164.080002,153.939041,10319500
2019-12-30,164.300003,164.979996,162.720001,163.929993,154.632233,14682400
2020-01-06,162.919998,166.300003,162.830002,165.460007,156.075439,19796900
2020-01-13,166.000000,169.009995,165.520004,168.759995,159.188293,14015900
2020-01-20,168.399994,169.320007,166.330002,167.089996,157.613037,10950300
2020-01-27,164.229996,166.990005,163.039993,163.520004,154.245499,17816400
2020-02-03,164.350006,169.830002,164.309998,168.710007,159.141098,14431100
2020-02-10,168.279999,171.929993,168.259995,171.699997,161.961502,12925200
2020-02-17,171.270004,172.559998,169.399994,169.889999,160.254166,14992600
2020-02-24,164.500000,165.869995,145.300003,150.440002,141.907364,63690100
2020-03-02,151.410004,159.300003,147.119995,150.589996,142.048859,41212100
2020-03-09,140.000000,145.410004,124.410004,135.929993,128.220291,77311700
2020-03-16,121.059998,127.989998,113.000000,115.190002,108.656670,70035100
2020-03-23,113.650002,131.630005,109.489998,126.930000,119.730812,62138600
2020-03-30,127.779999,131.610001,121.769997,123.379997,116.960251,39818900
2020-04-06,128.429993,140.779999,127.779999,139.360001,132.108765,35761300
2020-04-13,138.750000,143.479996,135.630005,143.139999,135.692062,29777400
2020-04-20,141.000000,143.050003,135.869995,141.630005,134.260635,28724300
2020-04-27,142.649994,148.539993,139.800003,141.809998,134.431274,22014900
2020-05-04,140.669998,147.630005,139.910004,147.470001,139.796783,20379100
2020-05-11,146.220001,148.309998,138.369995,143.830002,136.346176,26374000
2020-05-18,147.529999,150.190002,147.020004,149.259995,141.493683,18054900
2020-05-25,152.839996,155.190002,150.020004,153.710007,145.712112,18652800
2020-06-01,153.619995,163.080002,153.270004,161.899994,153.475983,27135100
2020-06-08,162.899994,164.199997,150.830002,153.970001,145.958588,32731300
2020-06-15,150.559998,160.119995,149.850006,157.080002,148.906769,19765300
2020-06-22,156.949997,159.979996,151.729996,152.020004,144.110062,16383200
2020-06-29,152.699997,160.070007,151.350006,158.070007,150.527374,14301500
2020-07-06,160.500000,161.029999,157.279999,160.949997,153.269913,12956900
2020-07-13,162.080002,163.639999,157.740005,163.190002,155.403046,15995600
2020-07-20,163.020004,166.199997,161.899994,162.690002,154.926880,13657700
2020-07-27,163.059998,165.619995,162.410004,165.520004,157.621841,12114700
2020-08-03,166.470001,169.949997,166.149994,169.800003,161.697647,14181400
2020-08-10,170.029999,171.750000,168.479996,170.979996,162.821335,13447300
2020-08-17,171.429993,172.500000,170.190002,172.220001,164.002136,13733700
2020-08-24,173.509995,177.710007,172.869995,177.679993,169.201584,17669700
2020-08-31,177.660004,181.669998,169.199997,173.449997,165.173492,19810500
2020-09-07,170.300003,173.490005,167.500000,169.119995,161.050064,15181700
2020-09-14,171.000000,174.380005,167.529999,169.089996,161.021500,13995800
2020-09-21,166.470001,169.130005,162.850006,166.960007,158.993164,15115800
2020-09-28,169.320007,172.250000,168.229996,170.389999,162.925049,15758000
2020-10-05,171.610001,177.630005,171.009995,177.320007,169.551437,12154300
2020-10-12,178.649994,180.639999,175.160004,177.550003,169.771362,12275800
2020-10-19,178.309998,179.250000,174.119995,176.839996,169.092468,14748800
2020-10-26,175.039993,175.490005,165.020004,166.990005,159.673996,18107700
2020-11-02,168.789993,180.080002,167.160004,179.259995,171.406448,18369900
2020-11-09,187.520004,187.520004,179.089996,183.320007,175.288589,22133400
2020-11-16,185.539993,185.750000,182.210007,183.229996,175.202530,21054000
2020-11-23,184.289993,188.369995,183.369995,188.179993,179.935623,14970900
2020-11-30,188.059998,191.509995,185.539993,191.509995,183.119736,20230500
2020-12-07,191.300003,192.639999,188.600006,190.179993,181.848007,18925700
2020-12-14,191.690002,194.470001,189.580002,193.470001,184.993866,18415400
2020-12-21,191.600006,194.220001,189.820007,192.820007,184.372345,14543300
2020-12-28,194.589996,194.949997,192.820007,194.639999,186.868698,16447100
2021-01-04,195.389999,199.460007,189.759995,199.250000,191.294632,31265100
2021-01-11,197.419998,200.029999,195.979996,197.059998,189.192062,18932300
2021-01-18,198.660004,202.000000,197.830002,200.889999,192.869141,15385100
2021-01-25,201.270004,202.339996,192.820007,193.990005,186.244629,29723600
2021-02-01,195.880005,204.289993,194.529999,204.110001,195.960556,15958600
2021-02-08,205.190002,207.509995,204.449997,207.490005,199.205643,15790600
2021-02-15,208.309998,208.389999,204.009995,205.970001,197.746323,18020400
2021-02-22,204.720001,206.479996,198.550003,200.080002,192.091492,27736700
2021-03-01,203.149994,205.850006,194.110001,200.750000,192.734711,27698400
2021-03-08,201.440002,207.830002,199.570007,207.399994,199.119217,20703000
2021-03-15,207.729996,209.300003,203.570007,205.259995,197.064651,18881700
2021-03-22,205.880005,207.259995,199.500000,206.470001,198.226349,20914900
2021-03-29,205.589996,209.300003,204.240005,209.279999,201.593735,18561500
2021-04-05,210.850006,214.250000,210.559998,214.139999,206.275223,20458400
2021-04-12,214.059998,217.470001,213.330002,217.149994,209.174652,21450900
2021-04-19,216.729996,217.869995,212.919998,217.210007,209.232483,21134200
2021-04-26,217.740005,219.649994,216.750000,217.100006,209.126495,15911800
2021-05-03,218.570007,218.990005,213.809998,218.750000,210.715912,18778200
2021-05-10,218.889999,218.899994,209.210007,215.539993,207.623779,25455600
2021-05-17,214.899994,216.740005,209.750000,214.970001,207.074738,20352900
2021-05-24,216.240005,218.729996,215.919998,218.089996,210.080139,15085300
2021-05-31,219.529999,219.529999,216.080002,219.389999,211.332397,12659200
2021-06-07,219.550003,221.020004,218.660004,221.020004,212.902527,14057000
2021-06-14,221.199997,221.529999,216.529999,216.750000,208.789368,17284200
2021-06-21,217.669998,222.699997,217.080002,222.550003,214.376343,14949400
2021-06-28,222.990005,225.410004,221.860001,225.270004,217.661545,17067000
2021-07-05,225.380005,225.979996,221.139999,225.880005,218.250946,16562100
2021-07-12,225.949997,226.610001,222.190002,222.389999,214.878830,17273000
2021-07-19,219.809998,227.610001,217.820007,227.460007,219.777573,20090500
2021-07-26,227.250000,228.750000,224.979996,226.690002,219.033585,16133700
2021-08-02,227.850006,229.309998,225.279999,228.869995,221.139954,14982800
2021-08-09,228.860001,230.250000,228.020004,230.149994,222.376724,14555600
2021-08-16,229.479996,230.250000,224.399994,228.110001,220.405624,16742000
2021-08-23,229.070007,232.940002,228.779999,232.729996,224.869553,15951700
2021-08-30,233.220001,234.649994,232.770004,234.289993,226.376892,15585300
2021-09-06,234.289993,234.300003,229.960007,230.080002,222.309097,12935900
2021-09-13,231.509995,231.740005,228.619995,229.039993,221.304230,14685900
2021-09-20,225.509995,230.949997,222.309998,229.639999,221.883972,23401900
2021-09-27,229.160004,229.869995,221.020004,225.119995,218.203201,22749600
2021-10-04,224.240005,228.360001,220.539993,226.389999,219.434219,16632100
2021-10-11,226.070007,231.160004,223.649994,230.729996,223.640839,13839500
2021-10-18,230.070007,235.309998,229.449997,234.360001,227.159302,13584100
2021-10-25,235.070007,237.190002,233.990005,236.910004,229.630966,14010400
2021-11-01,237.750000,243.509995,236.720001,242.360001,234.913513,19153100
2021-11-08,243.169998,243.559998,238.729996,241.750000,234.322250,14219000
2021-11-15,242.440002,243.330002,240.520004,241.479996,234.060547,16248400
2021-11-22,242.339996,243.600006,234.940002,235.990005,228.739243,15654800
2021-11-29,238.479996,239.279999,229.020004,231.190002,224.086700,27374600
2021-12-06,232.610001,240.380005,230.949997,239.529999,232.170471,17377300
